Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic
www.liquidgeneration.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
www.onlineanime.org,0,0,/,0,http,0,0,0,0,0,1,0,0,1,0,1
www.ceres.dti.ne.jp,0,0,/~nekoi/senno/senfirst.html,0,http,0,1,0,1,0,1,0,0,0,0,0
www.galeon.com,0,0,/kmh/,0,http,0,0,0,0,0,0,0,0,0,0,0
www.fanworkrecs.com,0,0,/,0,http,0,0,0,1,1,1,0,0,1,0,1
www.animehouse.com,0,0,/,0,http,0,0,0,0,0,1,0,0,1,0,1
www2.117.ne.jp,0,0,/~mb1996ax/enadc.html,0,http,0,1,0,1,0,1,0,0,0,0,2
archive.rhps.org,0,0,/fritters/yui/index.html,0,http,0,2,0,0,0,1,0,0,0,0,2
www.freecartoonsex.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,1,2
www.cutepet.org,0,0,/,0,http,0,0,0,2,0,0,0,0,0,0,2
www.taremeparadise.com,0,0,/,0,http,0,0,0,2,0,2,0,0,0,0,2
www.internetdump.com,0,0,/users/pornographite/index1.html,0,http,0,2,2,0,0,1,0,0,0,0,1
darkkaminari.net,0,0,,0,http,0,0,0,1,1,1,0,0,1,0,1
www.iei.net,0,0,/~bkos1/velneko.htm,0,http,0,2,0,0,0,1,0,0,1,0,1
www9.kinghost.com,0,0,/fetish/hentaibee/,0,http,0,0,0,2,0,2,0,0,0,1,0
www.jasonmeador.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,1
www.geocities.com,0,0,/kaseychan17/index.html,0,http,0,2,0,2,0,2,0,0,0,0,2
www.angelfire.com,0,0,/journal/coldlemonade/index.html,0,http,0,2,2,0,0,0,0,0,0,0,0
e.webring.com,0,0,/hub,0,http,0,0,2,0,0,0,0,0,0,0,2
www.nemurokinenkan.net,0,0,,0,http,0,0,0,1,1,1,0,0,1,0,1
j-heaven.tripod.com,0,0,/library.htm,1,http,0,2,0,0,0,0,0,0,0,0,1
www.angelfire.com,0,0,/poetry/nicolesstories/,0,http,0,0,0,0,0,0,0,0,0,0,0
thesheeparecoming.tripod.com,0,0,/papercrane/,0,http,0,0,0,0,0,0,0,0,0,0,1
www.geocities.com,0,0,/eddie_monsoon2002/,0,http,0,0,0,2,0,2,0,0,0,0,2
www.shokushu.com,0,0,/,0,http,0,0,0,0,0,1,0,0,0,0,2
www.geocities.com,0,0,/timessquare/arcade/7810/p_hgames.htm,0,http,0,2,2,2,0,2,0,0,0,0,2
www.hentaisocialclub.com,0,0,/ganguro/index.html,0,http,0,2,0,0,0,1,0,0,0,0,2
ryogamasaki.netfirms.com,0,0,/,0,http,0,0,0,0,0,0,0,0,1,0,0
